Payments_ID,Payment_Type,Payment_Number,Verification_Code,Expiration_Date
48,visa,4017957843097,3,11/6/2020
49,americanexpress,374622464166205,1,9/22/2020
50,mastercard,5287353732817073,3,8/14/2020
51,mastercard,5007668917308120,1,4/3/2021
52,americanexpress,374283969806363,3,9/24/2020
53,visa,4017950515923737,3,12/15/2020
54,mastercard,5108757886229991,1,6/23/2020
55,mastercard,5010124404535275,1,12/2/2020
56,visa,4017951074588556,2,6/10/2020
57,americanexpress,374283926161290,2,4/2/2021
58,mastercard,5048379426021326,3,7/18/2020
59,americanexpress,373493806277212,2,6/17/2020
60,mastercard,5007660924397840,1,1/5/2021
61,americanexpress,344344865296203,3,4/15/2021
62,visa,4041373635903,2,5/17/2021
63,visa,4041592772537741,1,8/1/2020
64,visa,4018889612642007,2,4/14/2021
65,visa,4041378530024408,2,12/22/2020
66,americanexpress,370004421007893,2,12/29/2020
67,americanexpress,374288103050828,2,6/22/2020
68,visa,4041593265127,2,4/2/2021
69,americanexpress,374288934399089,3,7/5/2020
70,mastercard,5100131338672703,2,1/19/2021
71,visa,4041377986799,1,4/28/2021
72,americanexpress,374622019983369,1,6/17/2020
73,visa,4041597294743,2,5/24/2021
74,mastercard,5100149046540913,2,2/1/2021
75,visa,4041370757341144,3,1/19/2021
76,americanexpress,374622364425560,3,7/31/2020
77,americanexpress,372081225821263,2,7/18/2020
78,mastercard,5002356463764632,1,4/13/2021
79,visa,4041599026291,1,8/30/2020
80,visa,4650708478132122,3,1/24/2021
81,americanexpress,372301869020935,1,10/19/2020
82,mastercard,5002355182134135,3,9/5/2020
83,mastercard,5108752511676005,3,7/2/2020
84,visa,4752584756276,1,4/8/2021
85,mastercard,5512949315196087,3,10/1/2020
86,americanexpress,341617733229032,3,10/5/2020
87,mastercard,5100178570086688,1,5/10/2021
88,americanexpress,377001243357277,2,2/2/2021
89,visa,4041372533869,1,5/3/2021
90,mastercard,5108757349779525,2,11/30/2020
91,mastercard,5100148521030499,3,3/28/2021
92,visa,4041594579039,2,4/2/2021
93,mastercard,5228954230101076,1,2/4/2021
94,visa,4368948262081,1,1/20/2021
95,americanexpress,374288667699697,3,7/29/2020
96,mastercard,5100143715502973,1,5/31/2020
97,mastercard,5048379599466720,3,1/5/2021
98,visa,4041594263592839,3,4/14/2021
99,mastercard,5002357549022854,1,12/4/2020
100,visa,4017956618664,2,4/28/2021
101,americanexpress,374283495521692,3,3/12/2021
102,mastercard,5010120609362366,2,6/2/2020
103,americanexpress,337941694946343,3,5/28/2020
104,mastercard,5100133436628314,1,5/26/2021
105,mastercard,5108756880105025,2,11/23/2020
106,mastercard,5323514541708698,1,2/23/2021
107,mastercard,5007662180615626,1,9/24/2020
108,americanexpress,372301491659621,3,10/5/2020
109,americanexpress,374622065550955,1,1/15/2021
110,visa,4041371886306479,3,8/8/2020
111,americanexpress,340670016779349,1,7/14/2020
112,mastercard,5048379468145868,2,7/30/2020
113,americanexpress,374283094967445,3,12/14/2020
114,mastercard,5455578989987734,3,5/13/2021
115,americanexpress,374622455696350,1,3/16/2021
116,visa,4422573378124,3,10/9/2020
117,mastercard,5108750575912118,2,5/26/2021
118,mastercard,5010123131153345,2,6/9/2020
119,americanexpress,371655418390433,3,9/24/2020
120,mastercard,5007669956929610,1,12/19/2020
121,visa,4017954420060577,2,6/19/2020
122,visa,4395586344272300,1,8/23/2020
123,mastercard,5007661445326755,1,8/31/2020
124,americanexpress,372301164605570,2,6/20/2020
125,americanexpress,374288444110885,2,6/29/2020
126,visa,4239316824726447,3,6/6/2020
127,visa,4041375223047,3,3/21/2021
128,mastercard,5007668965041607,3,4/15/2021
129,americanexpress,376263578049314,3,12/27/2020
130,visa,4017957506843,1,3/27/2021
131,americanexpress,374324387257332,2,8/8/2020
132,visa,4239398856192540,3,12/22/2020
133,visa,4041370100422,2,8/7/2020
134,americanexpress,337941200915972,1,6/5/2020
135,mastercard,5108752887510275,2,1/24/2021
136,americanexpress,341616058756488,1,6/10/2020
137,visa,4041373399732,2,3/19/2021
138,visa,4041595198128,2,11/20/2020
139,visa,4041379934060,1,10/27/2020
140,visa,4017959075672741,1,10/5/2020
141,visa,4041598487668,1,2/13/2021
142,visa,4017959648684,3,11/5/2020
143,visa,4232438121290,1,2/10/2021
144,americanexpress,337941707797071,3,8/16/2020
145,visa,4041596016630782,2,11/24/2020
146,visa,4041590124176911,3,2/15/2021
147,visa,4994877058552,2,12/31/2020
148,visa,4017959503616211,3,12/18/2020
149,mastercard,5464910866914508,2,3/6/2021
150,americanexpress,337941224663772,1,3/12/2021
151,americanexpress,341807334671951,2,10/6/2020
152,mastercard,5007663095783426,3,2/22/2021
153,mastercard,5010126912972544,3,10/22/2020
154,visa,4779403651818,2,7/15/2020
155,mastercard,5007667793331818,2,11/17/2020
156,americanexpress,374622554437268,1,10/24/2020
157,mastercard,5100144098778677,3,4/18/2021
158,americanexpress,346322559022836,1,12/19/2020
159,americanexpress,371942540485848,3,1/28/2021
160,americanexpress,374622012205232,3,8/1/2020
161,americanexpress,372301989890878,3,1/12/2021
162,visa,4041590317921,1,2/18/2021
163,americanexpress,348356010766118,1,2/1/2021
164,americanexpress,372190944077337,3,11/18/2020
165,visa,4378041668216195,1,7/2/2020
166,visa,4041593079071756,2,2/17/2021
167,mastercard,5236787702373108,3,10/18/2020
168,visa,4041596512322298,1,7/5/2020
169,mastercard,5048375385055990,2,4/7/2021
170,americanexpress,337941051441680,3,4/18/2021
171,americanexpress,337941709499049,1,10/15/2020
172,mastercard,5007668271326155,2,5/14/2021
173,americanexpress,337941541514005,3,8/29/2020
174,americanexpress,374283255672370,1,11/18/2020
175,americanexpress,372836855249295,2,2/7/2021
176,mastercard,5108751294829062,3,7/13/2020
177,visa,4041375732173157,2,5/26/2021
178,visa,4041595240783227,3,10/4/2020
179,visa,4041597142223,2,9/30/2020
180,americanexpress,372301357873480,2,6/29/2020
181,visa,4017959940443179,2,4/23/2021
182,visa,4017957748592858,2,10/26/2020
183,visa,4041376187267668,1,9/19/2020
184,visa,4041597425058383,2,9/10/2020
185,americanexpress,374622569434508,2,7/14/2020
186,visa,4041375851065358,3,7/29/2020
187,visa,4017954888804169,1,1/20/2021
188,visa,4041591622626,3,4/23/2021
189,americanexpress,337941994497294,1,12/10/2020
190,visa,4041378780696,1,4/15/2021
191,mastercard,5100134577942050,3,7/29/2020
192,visa,4041595195862489,1,5/16/2021
193,mastercard,5100175135642377,2,5/6/2021
194,mastercard,5108753956101095,3,2/6/2021
195,mastercard,5100147919789955,1,10/3/2020
196,americanexpress,341283822339990,1,12/3/2020
197,visa,4041370020968,3,8/17/2020
198,mastercard,5356574041710214,2,6/15/2020
199,mastercard,5554383983679621,1,1/2/2021
200,visa,4041377157904,1,8/22/2020
201,americanexpress,374288169543369,3,12/27/2020
202,americanexpress,372301237500162,2,2/9/2021
203,americanexpress,372301710028095,3,6/7/2020
204,americanexpress,372436213403815,1,10/5/2020
205,americanexpress,374288829652451,1,1/26/2021
206,americanexpress,374283663371581,3,11/16/2020
207,mastercard,5199109988544077,2,5/6/2021
208,mastercard,5007667202029680,1,12/30/2020
209,mastercard,5002359951592564,2,11/16/2020
210,mastercard,5596185927586998,2,6/24/2020
211,mastercard,5447204115579953,3,11/1/2020
212,americanexpress,379116674117426,3,1/31/2021
213,americanexpress,372301465322966,1,2/14/2021
214,visa,4041373735768305,1,5/8/2021
215,mastercard,5002355384059122,2,3/3/2021
216,visa,4041378543904,3,2/8/2021
217,mastercard,5271871359481244,2,10/4/2020
218,visa,4041592555103109,2,11/10/2020
219,mastercard,5100170068315224,2,6/5/2020
220,visa,4041592281927,3,11/12/2020
221,visa,4041599482037953,2,6/3/2020
222,americanexpress,372301519601217,2,7/19/2020
223,americanexpress,374622524095071,3,12/1/2020
224,visa,4017955802160,2,5/31/2020
225,visa,4041599934777131,3,9/16/2020
226,mastercard,5100143005804618,2,6/21/2020
227,visa,4041597601964313,2,2/10/2021
228,visa,4297901487015,2,4/8/2021
229,visa,4041590007456,2,5/13/2021
230,americanexpress,374622319388384,3,10/14/2020
231,mastercard,5376101121303466,2,3/22/2021
232,visa,4041377592210806,3,6/30/2020
233,mastercard,5578705341621071,2,10/3/2020
234,americanexpress,372301337764262,3,10/14/2020
235,americanexpress,374288792986894,3,5/18/2021
236,mastercard,5007663867733252,3,4/14/2021
237,visa,4627814317679,3,7/28/2020
238,visa,4017958858562186,1,2/24/2021
239,mastercard,5002350972019356,3,12/4/2020
240,visa,4017951095234131,3,8/21/2020
241,mastercard,5163018077451486,2,10/20/2020
242,americanexpress,374622579879189,3,1/16/2021
243,americanexpress,372301448833907,2,12/14/2020
244,mastercard,5319277872856470,2,4/8/2021
245,americanexpress,372301151801968,3,11/7/2020
246,americanexpress,374283050873231,3,8/24/2020
247,mastercard,5100132357074680,3,1/28/2021
248,visa,4041372354811,2,11/1/2020
249,mastercard,5108753707868273,1,5/7/2021
250,visa,4782012703599630,2,11/5/2020
251,americanexpress,348610818021922,2,8/22/2020
252,americanexpress,342967139083452,1,3/16/2021
253,mastercard,5362041168828320,2,4/25/2021
254,americanexpress,372035985550264,1,9/4/2020
255,mastercard,5048374624236594,3,5/11/2021
256,americanexpress,337941935007640,1,9/14/2020
257,visa,4041592697600426,2,5/5/2021
258,visa,4041592972861586,2,6/25/2020
259,mastercard,5245225296581595,3,9/18/2020
260,visa,4041595584566,2,11/26/2020
261,mastercard,5119776120695046,1,9/21/2020
262,americanexpress,340651755041901,1,1/11/2021
263,visa,4041373583563675,3,12/23/2020
264,mastercard,5100176127588149,1,8/29/2020
265,americanexpress,371502969606405,1,3/5/2021
266,visa,4536487472770902,2,1/27/2021
267,mastercard,5002358364969922,3,2/26/2021
268,visa,4017958110200948,1,7/10/2020
269,visa,4017952886232573,3,9/9/2020
270,mastercard,5115478930775027,1,4/17/2021
271,visa,4017956990134781,3,12/26/2020
272,visa,4023021097570585,1,1/30/2021
273,americanexpress,372301264121650,2,12/17/2020
274,mastercard,5100171168067970,2,4/15/2021
275,mastercard,5512543040024696,1,6/16/2020
276,americanexpress,377763021309891,1,7/5/2020
277,visa,4017952880326,2,2/28/2021
278,americanexpress,375962451356131,2,4/3/2021
279,americanexpress,374288922377311,3,11/26/2020
280,visa,4017955576212722,2,5/12/2021
281,americanexpress,374288279146335,2,10/23/2020
282,americanexpress,373620909454336,2,7/7/2020
283,americanexpress,374622260103485,2,8/25/2020
284,visa,4041372853697,2,2/13/2021
285,visa,4041371608456,3,1/25/2021
286,visa,4070790967487862,1,6/12/2020
287,mastercard,5007661500116588,1,6/7/2020
288,mastercard,5007667305942037,2,10/2/2020
289,visa,4017959937961142,3,9/15/2020
290,mastercard,5048376138217036,2,6/16/2020
291,americanexpress,377654946237749,1,5/15/2021
292,mastercard,5118774324117322,3,10/7/2020
293,americanexpress,372301117306938,2,6/17/2020
294,visa,4986047800764,3,7/25/2020
295,visa,4041595809705736,1,6/25/2020
296,americanexpress,374283598891448,1,4/6/2021
297,mastercard,5002357870099331,1,1/12/2021
298,americanexpress,374622044979317,2,9/4/2020
299,mastercard,5100141013788286,3,2/18/2021
300,americanexpress,343460822485431,3,9/24/2020
301,americanexpress,337941005792501,2,6/19/2020
302,visa,4041378591951903,2,3/16/2021
303,americanexpress,374283784784837,1,10/9/2020
304,americanexpress,370560989405001,2,3/4/2021
305,mastercard,5108750619529803,2,2/12/2021
306,mastercard,5048376286416224,1,3/30/2021
307,visa,4041592308233,1,10/1/2020
308,visa,4041598144533,2,6/4/2020
309,visa,4017955416524,2,6/17/2020
310,americanexpress,374283014018543,2,6/15/2020
311,mastercard,5100143575515578,2,2/15/2021
312,visa,4017957818255,2,3/10/2021
313,mastercard,5007668190190583,1,11/14/2020
314,americanexpress,374622879573201,1,4/10/2021
315,americanexpress,374622151873261,2,11/30/2020
316,visa,4017953457009,2,6/18/2020
317,mastercard,5100138699102303,1,4/30/2021
318,visa,4041594609158,1,10/5/2020
319,visa,4975921751987,3,3/27/2021
320,americanexpress,377269771065030,3,6/5/2020
321,americanexpress,374622263007576,1,4/5/2021
322,mastercard,5586686250879464,1,2/23/2021
323,mastercard,5108751861060687,3,5/8/2021
324,mastercard,5007667702373232,3,5/22/2021
325,visa,4362123962602292,1,2/12/2021
326,mastercard,5010123629500502,1,8/5/2020
327,mastercard,5002356667016177,1,1/11/2021
328,mastercard,5579831800569269,2,1/19/2021
329,mastercard,5100148023121960,2,7/31/2020
330,mastercard,5007667472332491,3,1/30/2021
331,visa,4041596510088180,1,9/27/2020
332,americanexpress,343289695424551,3,2/1/2021
333,americanexpress,372301226791558,1,5/7/2021
334,mastercard,5048377000907787,1,6/27/2020
335,visa,4732588903355,3,11/4/2020
336,visa,4017955221110941,1,12/3/2020
337,mastercard,5251896234838213,2,1/10/2021
338,americanexpress,375508323505171,3,8/21/2020
339,americanexpress,374283843207929,1,4/14/2021
340,mastercard,5166439143162955,3,5/24/2021
341,americanexpress,372301828975161,2,5/12/2021
342,visa,4017954674866729,3,7/23/2020
343,americanexpress,372301670424813,1,8/21/2020
344,americanexpress,372301373761685,1,10/17/2020
345,mastercard,5100148347977923,3,7/19/2020
346,mastercard,5002355028432115,1,1/25/2021
347,visa,4041370776661662,2,3/3/2021
348,americanexpress,337941837533511,3,9/23/2020
349,americanexpress,372301997691805,2,6/18/2020
350,mastercard,5100138255472579,3,5/17/2021
351,americanexpress,337941304757346,3,6/20/2020
352,americanexpress,374283392135182,3,6/28/2020
353,mastercard,5002354405365451,2,6/7/2020
354,visa,4041379136963,1,9/4/2020
355,mastercard,5115190786769158,3,5/1/2021
356,visa,4921732883014678,3,11/25/2020
357,americanexpress,372301048858072,1,10/18/2020
358,americanexpress,372301998624003,2,12/22/2020
359,americanexpress,372609932964917,3,8/10/2020
360,mastercard,5048378194036177,3,4/1/2021
361,mastercard,5002354279270308,2,12/12/2020
362,visa,4041374532613165,2,11/5/2020
363,mastercard,5007660347214002,2,5/15/2021
364,mastercard,5416023996209291,2,1/7/2021
365,americanexpress,372301550508289,3,4/25/2021
366,visa,4017958968708265,1,3/16/2021
367,americanexpress,372301194306397,3,4/6/2021
368,mastercard,5232765158607421,2,12/24/2020
369,visa,4041591082931529,2,10/25/2020
370,mastercard,5283718875526117,3,8/12/2020
371,mastercard,5100146640906409,1,7/14/2020
372,visa,4441161721628,1,11/12/2020
373,visa,4041377404074,2,11/8/2020
374,mastercard,5108755240616226,2,12/27/2020
375,americanexpress,342958873986372,2,6/30/2020
376,americanexpress,337941237404750,3,10/14/2020
377,americanexpress,374288198446139,1,6/15/2020
378,visa,4041371948690761,2,1/7/2021
379,mastercard,5010126060796224,1,8/5/2020
380,mastercard,5100145673342136,1,8/7/2020
381,mastercard,5010124021921544,3,1/28/2021
382,mastercard,5002350814157604,3,10/6/2020
383,mastercard,5108759239296735,1,2/28/2021
384,visa,4287652914192,3,1/29/2021
385,visa,4017958535098,2,4/24/2021
386,mastercard,5010127274459906,1,11/14/2020
387,mastercard,5340799356638432,1,2/5/2021
388,americanexpress,372301747695213,2,2/22/2021
389,mastercard,5100138991802949,3,8/25/2020
390,visa,4041591399779,3,8/3/2020
391,americanexpress,345959413745945,1,4/13/2021
392,americanexpress,337941803153179,1,6/18/2020
393,americanexpress,374283563607142,3,1/29/2021
394,mastercard,5010123441804116,2,12/30/2020
395,americanexpress,372821142428555,3,7/15/2020
396,mastercard,5010124600880707,3,2/14/2021
397,americanexpress,374622238507882,3,5/21/2021
398,visa,4047591698799389,1,11/23/2020
399,visa,4017958784682322,2,7/1/2020
400,mastercard,5007666518383658,2,12/4/2020
401,mastercard,5100132213485278,1,8/4/2020
402,mastercard,5100148690044503,2,4/18/2021
403,americanexpress,372301300597954,3,5/11/2021
404,mastercard,5563387926410621,1,5/21/2021
405,americanexpress,374622977080596,3,11/28/2020
406,visa,4017951353193581,3,1/26/2021
407,visa,4041591798334463,3,4/8/2021
408,americanexpress,341670450766207,1,8/6/2020
409,visa,4017954682846531,3,1/4/2021
410,americanexpress,372301767194022,3,7/15/2020
411,visa,4041597835891,3,4/18/2021
412,mastercard,5258266445575033,2,6/14/2020
413,americanexpress,374622741835432,2,3/15/2021
414,mastercard,5002351291253015,1,4/23/2021
415,americanexpress,374288641773956,1,3/6/2021
416,visa,4041371332172,3,3/26/2021
417,visa,4041374171509674,2,4/1/2021
418,visa,4017952579725420,1,9/27/2020
419,americanexpress,337941920016176,1,2/19/2021
420,mastercard,5369956910655544,1,12/24/2020
421,americanexpress,374283475871224,1,9/11/2020
422,visa,4041377666848119,2,8/14/2020
423,visa,4017956421682051,3,10/8/2020
424,mastercard,5010123054932873,3,10/1/2020
425,mastercard,5560726178362787,2,4/2/2021
426,visa,4017952286252056,2,7/23/2020
427,visa,4017956254848324,2,8/13/2020
428,mastercard,5169093030077912,2,4/24/2021
429,visa,4041595467731412,2,10/22/2020
430,visa,4017950815449,1,11/29/2020
431,americanexpress,377636303968230,1,11/9/2020
432,mastercard,5100146299978105,2,11/1/2020
433,mastercard,5108750532162096,3,12/27/2020
434,visa,4442753868967,3,3/17/2021
435,visa,4017957196521318,2,1/13/2021
436,mastercard,5208648462055174,2,8/15/2020
437,visa,4041590493237021,3,5/26/2021
438,mastercard,5100178371705171,2,5/13/2021
439,mastercard,5108752471043907,2,8/2/2020
440,mastercard,5535272189647678,3,3/15/2021
441,mastercard,5100136361812688,2,3/24/2021
442,americanexpress,374288994612249,1,9/6/2020
443,americanexpress,374283874157993,2,12/17/2020
444,mastercard,5010123522701447,3,4/2/2021
445,mastercard,5108751540650239,2,10/13/2020
446,visa,4933281708345,1,8/13/2020
447,visa,4017951256213049,3,5/7/2021
448,americanexpress,343479824794236,2,5/3/2021
449,visa,4370451064672,3,10/11/2020
450,mastercard,5108754378521506,3,12/4/2020
451,americanexpress,374622065344680,3,1/20/2021
452,visa,4041373853983058,3,9/27/2020
453,americanexpress,374283333898328,1,9/2/2020
454,visa,4017956205865062,3,4/20/2021
455,americanexpress,374283707806519,3,9/18/2020
456,visa,4017950732578496,3,4/22/2021
457,visa,4041599397874,1,1/12/2021
458,mastercard,5010128838895759,3,8/10/2020
459,visa,4041372912976061,2,7/3/2020
460,mastercard,5275060251076916,3,11/2/2020
461,mastercard,5357264115850877,2,10/18/2020
462,americanexpress,372301764255263,2,4/5/2021
463,visa,4017954688560,2,7/29/2020
464,americanexpress,374283318430824,2,5/27/2021
465,mastercard,5100143742343805,1,6/25/2020
466,visa,4041591573605,1,5/13/2021
467,mastercard,5010126712222207,1,11/25/2020
468,mastercard,5007664136655870,2,8/17/2020
469,americanexpress,340935862811243,1,8/2/2020
470,visa,4041591165154,1,10/3/2020
471,visa,4041596886333,1,11/30/2020
472,visa,4041370868950924,1,1/28/2021
473,mastercard,5002350163289883,1,11/27/2020
474,americanexpress,374622666712533,3,8/2/2020
475,visa,4122281326122,1,9/9/2020
476,visa,4529647042278,2,12/13/2020
477,americanexpress,374622977274231,2,2/11/2021
478,visa,4041598348359338,2,9/1/2020
479,visa,4041377287461,2,9/1/2020
480,americanexpress,341581814063431,3,5/11/2021
481,visa,4041598390087944,1,3/31/2021
482,mastercard,5522622523972395,1,8/8/2020
483,mastercard,5010128999909787,3,3/21/2021
484,visa,4041372742585,2,10/15/2020
485,visa,4017956477798,1,5/27/2021
486,visa,4017957385778224,3,12/24/2020
487,mastercard,5314754128952944,1,11/2/2020
488,mastercard,5002358956092471,2,5/9/2021
489,visa,4017953676340535,2,2/4/2021
490,mastercard,5574564164869273,3,12/28/2020
491,mastercard,5296675105281035,3,8/1/2020
492,visa,4041596245613,3,9/24/2020
493,visa,4041372706775125,2,2/10/2021
494,visa,4262194350977977,3,4/11/2021
495,americanexpress,347678257804661,3,4/6/2021
496,americanexpress,337941943053537,3,2/28/2021
497,mastercard,5562011196500165,3,12/28/2020
498,mastercard,5331004060151744,1,4/9/2021
499,mastercard,5010127968736486,3,11/15/2020
500,mastercard,5002351086751504,1,7/19/2020
501,visa,4041378248983,2,6/4/2020
502,visa,4041591485772009,3,4/18/2021
503,americanexpress,376999689282803,2,8/25/2020
504,mastercard,5108759356351024,1,5/25/2021
505,mastercard,5108755565413043,1,7/4/2020
506,mastercard,5533245925091320,2,11/8/2020
507,americanexpress,374288031906448,1,9/11/2020
508,mastercard,5140694761098938,2,9/20/2020
509,mastercard,5002352805538123,3,11/1/2020
510,mastercard,5100179754612133,3,7/13/2020
511,mastercard,5010123162031048,3,6/3/2020
512,mastercard,5592860466528767,3,8/6/2020
513,visa,4041371351875255,3,12/22/2020
514,visa,4017954299947,2,11/3/2020
515,visa,4710426579686,2,5/29/2020
516,visa,4017950371432856,1,2/26/2021
517,visa,4041378939573,2,4/11/2021
518,visa,4269452902160044,2,6/10/2020
519,visa,4259631055412995,1,2/4/2021
520,americanexpress,370627312002472,3,1/11/2021
521,americanexpress,374288882542029,3,11/3/2020
522,americanexpress,374283649286838,2,3/22/2021
523,mastercard,5108757658486209,1,2/9/2021
524,mastercard,5370661491473609,2,8/31/2020
525,visa,4017951943790144,3,7/11/2020
526,visa,4041376754060215,2,11/9/2020
527,visa,4041374960391,3,4/27/2021
528,americanexpress,374089922367223,3,4/14/2021
529,visa,4041591571658,3,5/26/2021
530,americanexpress,343455840972055,1,1/14/2021
531,americanexpress,375262470688485,2,8/5/2020
532,visa,4017955562780,2,12/22/2020
533,mastercard,5533817552369672,1,4/2/2021
534,visa,4041599909165,1,11/9/2020
535,visa,4490541901236,1,1/3/2021
536,visa,4041375315825710,1,8/7/2020
537,visa,4958853965033372,3,4/29/2021
538,visa,4041595761206,3,1/14/2021
539,visa,4041599798482216,2,6/20/2020
540,americanexpress,337941038112362,1,8/5/2020
541,americanexpress,374460675204154,2,6/28/2020
542,mastercard,5487017492344721,2,5/2/2021
543,mastercard,5108759665011822,1,1/14/2021
544,mastercard,5239081851423824,1,11/19/2020
545,americanexpress,374283234253656,1,11/22/2020
546,americanexpress,374283137102802,1,5/29/2020
547,visa,4209129394738627,3,10/27/2020
548,visa,4041379811855551,3,12/5/2020
549,mastercard,5010123704258075,1,3/7/2021
550,americanexpress,374622437268930,2,12/29/2020
551,visa,4041376757555,1,8/31/2020
552,visa,4041593161404816,1,5/1/2021
553,mastercard,5352319665537350,2,12/20/2020
554,mastercard,5108752866223452,3,8/13/2020
555,mastercard,5100130645464119,1,4/19/2021
556,americanexpress,374622880333330,2,1/9/2021
557,americanexpress,373565936145888,2,11/7/2020
558,americanexpress,374283614218790,1,9/24/2020
559,mastercard,5174840862982921,1,11/3/2020
560,visa,4041596999630858,3,4/1/2021
561,americanexpress,374288885496074,2,12/1/2020
562,americanexpress,337941760682186,1,1/10/2021
563,mastercard,5100133885863081,2,9/28/2020
564,mastercard,5175138609236951,3,9/3/2020
565,visa,4017951081413,3,10/8/2020
566,americanexpress,371214008077941,1,12/23/2020
567,visa,4017959963331,1,5/4/2021
568,americanexpress,340272368079913,1,6/6/2020
569,mastercard,5190213116451293,2,7/7/2020
570,mastercard,5048375710220293,2,10/13/2020
571,americanexpress,378818590885835,3,11/23/2020
572,visa,4041375442613,1,4/28/2021
573,americanexpress,337941136157707,1,1/28/2021
574,visa,4041598088458787,2,8/6/2020
575,americanexpress,374622061376413,2,6/4/2020
576,visa,4715839395679,3,9/19/2020
577,mastercard,5108759531001544,3,2/19/2021
578,visa,4017951250390793,3,11/19/2020
579,visa,4586828752893,3,10/30/2020
580,mastercard,5156238836872231,2,8/6/2020
581,americanexpress,374622735789397,2,5/12/2021
582,americanexpress,372301449154295,3,2/28/2021
583,americanexpress,374288308616142,2,12/7/2020
584,mastercard,5048378853531906,3,6/20/2020
585,americanexpress,373346710807807,2,6/22/2020
586,visa,4057901297949581,3,3/20/2021
587,mastercard,5100132925064759,2,8/22/2020
588,americanexpress,337941410176738,3,12/8/2020
589,mastercard,5010120784186838,1,7/4/2020
590,visa,4041372255933604,1,12/2/2020
591,americanexpress,337941333997202,1,11/26/2020
592,americanexpress,374288947133251,2,6/3/2020
593,americanexpress,343048140155917,3,12/18/2020
594,visa,4041379382930,1,3/13/2021
595,visa,4041590380986,2,9/16/2020
596,americanexpress,374283026961490,1,7/2/2020
597,americanexpress,374622432754231,2,12/3/2020
598,americanexpress,376333535097191,1,7/17/2020
599,visa,4055890148299,2,12/16/2020
600,visa,4017952588465,1,11/17/2020
601,americanexpress,372301854540905,2,7/7/2020
602,mastercard,5226663446013627,2,4/18/2021
603,visa,4223423891013,3,2/24/2021
604,americanexpress,337941056562142,2,11/17/2020
605,mastercard,5485624538480773,1,1/3/2021
606,mastercard,5010126602641896,1,12/28/2020
607,americanexpress,374283205735137,2,11/19/2020
608,mastercard,5007669453509089,1,2/8/2021
609,mastercard,5108753934047139,1,12/31/2020
610,visa,4041372417832,3,5/17/2021
611,americanexpress,372301414768335,3,2/3/2021
612,visa,4041376368986029,1,10/13/2020
613,mastercard,5261420680581256,2,3/22/2021
614,mastercard,5414548886034005,1,3/13/2021
615,americanexpress,342264351535579,3,2/6/2021
616,mastercard,5130694927363814,3,6/7/2020
617,mastercard,5002355758336742,2,5/10/2021
618,visa,4017950518944,1,1/9/2021
619,visa,4041379273170,1,10/5/2020
620,mastercard,5108752224469607,3,1/28/2021
621,mastercard,5007662405983346,3,4/18/2021
622,americanexpress,371503529685699,1,5/10/2021
623,mastercard,5330753352376077,2,10/12/2020
624,mastercard,5100170320162059,2,6/15/2020
625,americanexpress,374283187206149,1,2/18/2021
626,visa,4017958889321,2,8/27/2020
627,visa,4041598870466808,1,4/11/2021
628,mastercard,5349437361341798,1,7/23/2020
629,americanexpress,374283689222735,1,7/20/2020
